model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,6,0,0.38786161527124846,0.6361236107346163,0.28806584362139914,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,6,0,0.3715591327690847,0.5913743561940905,0.2328042328042328,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,6,0,0.39482830255865076,0.604022770398482,0.27083333333333337,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,6,0,0.4048625672830999,0.5994795337489834,0.30357142857142855,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,6,0,0.39363955096959846,0.6058660883708322,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,6,0,0.4136410925934611,0.5964760097587423,0.3285024154589372,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,6,0,0.33476939503578107,0.5612577934399566,0.26459143968871596,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,6,0,0.37628667365395657,0.585004066142586,0.2990654205607477,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,6,0,0.3707594747131979,0.5942965573326104,0.2941176470588235,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,6,0,0.36643501179034177,0.5716237462727026,0.2513089005235602,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,6,1,0.4070702515514998,0.6230436021658592,0.32863849765258213,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,6,1,0.41539420325572457,0.6805642633228841,0.23030303030303031,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,6,1,0.3725853475063967,0.5774750641208322,0.28181818181818186,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,6,1,0.38470243910367896,0.5817269877457966,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,6,1,0.3595588080066417,0.5801652892561984,0.2658959537572254,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,6,1,0.38404206960827186,0.6340951838130522,0.24719101123595508,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,6,1,0.35250591516587704,0.60564263322884,0.3181818181818182,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,6,1,0.35696986710031026,0.5982901111427757,0.27230046948356806,0.9888551165146909,0.9787735849056604,0.967741935483871,0.9538983050847457,0.938985228002569,0.9282622139764997
deepr,dxtx,6,1,0.3891507514009097,0.6202450840695355,0.3103448275862069,0.7647058823529411,0.6404639175257731,0.5574977000919963,0.49927431059506533,0.4647630619684083,0.4427083333333333
deepr,dx,6,1,0.34421181503621534,0.6020974636648617,0.22093023255813954,0.900562851782364,0.8282208588957055,0.7704636519748139,0.7195,0.6819201435621355,0.6481481481481481
bitenet,dxtx,6,2,0.3788300145059825,0.5771522036768011,0.3263598326359832,0.6043324491600354,0.5843333333333334,0.5854808296668762,0.5846059865607819,0.58611442193087,0.5875292740046838
bitenet,dx,6,2,0.3778519149322151,0.5855028689081427,0.3111111111111111,0.6358087487283826,0.7209213051823417,0.7398543184183143,0.7497497497497497,0.7606128311522502,0.7667910447761194
rnn,dxtx,6,2,0.4106920245805377,0.6021467166940144,0.3234042553191489,0.5205799812909261,0.5928217821782178,0.5990783410138248,0.6005011135857461,0.5988546495773112,0.5998381003777657
rnn,dx,6,2,0.45240965463680627,0.6203634995453644,0.3404255319148936,0.5423100679431748,0.6354319180087847,0.6509345794392524,0.65639374425023,0.6607629427792916,0.6626071267478575
brnn,dxtx,6,2,0.4028988840231734,0.6247530857746053,0.25365853658536586,0.508283631544069,0.6088096486628212,0.6321499013806706,0.6458036984352774,0.6546463245492372,0.6593707250341997
brnn,dx,6,2,0.4211277078671334,0.6297488529593128,0.28837209302325584,0.5459558823529411,0.6208819057273188,0.6435030937648739,0.6514657980456026,0.6565795506648326,0.6587807097361238
retain,dxtx,6,2,0.3790143499995091,0.6098389439909699,0.25862068965517243,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,6,2,0.4143454964646302,0.612639918061057,0.3292181069958848,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,6,2,0.4197793908603593,0.6157335312130936,0.3203463203463203,0.5320959010054138,0.6197183098591549,0.6727989487516426,0.702034303948943,0.7178423236514523,0.7289178429243576
deepr,dx,6,2,0.3902897174063904,0.5900335489804662,0.28837209302325584,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,6,3,0.3095447237775537,0.6173587046331808,0.26785714285714285,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,6,3,0.26907185263726424,0.5821689748301249,0.15950920245398773,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,6,3,0.3089217387900291,0.5663653516506554,0.2165605095541401,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,6,3,0.30282889749541425,0.5471642269605002,0.20765027322404372,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,6,3,0.2993097354959298,0.5963200927376093,0.25136612021857924,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,6,3,0.2735960996813282,0.534893758709566,0.21390374331550804,0.4086081609837898,0.3104738154613466,0.28987194412107103,0.2807215332581736,0.27232956616842874,0.26697641172265907
retain,dxtx,6,3,0.2944100639839011,0.5801033432401436,0.2761904761904762,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,6,3,0.26427077117104925,0.5635412941336063,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,6,3,0.280908236821287,0.5948032408834737,0.2072538860103627,0.7926940639269406,0.7074159907300116,0.634321223709369,0.5840670859538785,0.5438663121914167,0.5130373502466525
deepr,dx,6,3,0.2776837140137652,0.5683508244028167,0.23318385650224213,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,6,4,0.3665503016179841,0.6138628354567633,0.21390374331550802,0.34900542495479203,0.4222222222222222,0.44711177794448614,0.4571220930232558,0.4658119658119658,0.47331460674157305
bitenet,dx,6,4,0.3632464055774532,0.5861805367308213,0.27906976744186046,0.3516187050359712,0.4144996059889677,0.4331065759637188,0.447310243183493,0.45770065075921906,0.4665718349928876
