model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,6,1,0.33624589097765784,0.36008888888888896,0.22921640211640212,0.18586983756983758,0.17549569469631388,0.17337246990178476,0.17298592599018336
bitenet,dx,6,1,0.35601132236995264,0.35435555555555553,0.23173333333333335,0.1871287601287601,0.17613926351139972,0.17383303099994984,0.1734317849237612
rnn,dxtx,6,1,0.37049756680141577,0.31202222222222226,0.19071216931216933,0.1546874384874385,0.1463686046381093,0.14468592441977687,0.14436932320064694
rnn,dx,6,1,0.365696085488809,0.3381777777777778,0.21314920634920634,0.1741500499500499,0.1649510475420692,0.16320484514543201,0.16288264491058813
brnn,dxtx,6,1,0.4072964392373114,0.3284,0.20175396825396827,0.16465828615828615,0.1564531540469621,0.1548282679185977,0.15453490726477728
brnn,dx,6,1,0.3839467061000763,0.31753333333333333,0.19476719576719578,0.15762256262256263,0.1491506155981388,0.1474597353672586,0.14715024159155793
retain,dxtx,6,1,0.3445348564720363,0.40708888888888894,0.26303915343915346,0.21573647833647833,0.20390070394575036,0.20107501726528107,0.2005070917042521
retain,dx,6,1,0.3659704987830768,0.4200444444444444,0.273684126984127,0.22376830946830945,0.21133588772768336,0.20857008811666639,0.2080402095150636
deepr,dxtx,6,1,0.36339947550524765,0.43306666666666666,0.28365291005291005,0.23498525178525176,0.22250755427349858,0.2200227569773969,0.21944724455452813
deepr,dx,6,1,0.3062078850190344,0.42117777777777776,0.2661010582010582,0.21916671476671476,0.2076505550864684,0.20517880529037075,0.20476611080733148
bitenet,dxtx,6,2,0.3289105593147626,0.3290666666666667,0.21106243386243387,0.17008541088541088,0.1593354968847229,0.15650600820914726,0.1559371322319954
bitenet,dx,6,2,0.30168402065108446,0.3272,0.2179809523809524,0.17593357753357755,0.16501056985097234,0.16214555447987,0.16154180034554114
rnn,dxtx,6,2,0.35178353200682444,0.2982444444444444,0.18356666666666668,0.14846607836607836,0.13930906655550618,0.13693148326922724,0.13647691340316312
rnn,dx,6,2,0.34838651288105266,0.32882222222222224,0.2034126984126984,0.16463520923520922,0.1547583774498635,0.15222818609532435,0.15169876614107677
brnn,dxtx,6,2,0.3446611200249229,0.33064444444444446,0.20595449735449736,0.16682389462389463,0.15652588407464565,0.15392975006372905,0.15342804412386218
brnn,dx,6,2,0.3470033472493999,0.3399111111111111,0.20884179894179894,0.16884981314981315,0.15854991634898755,0.15594049543174057,0.15545940766467575
retain,dxtx,6,2,0.2890654260661796,0.40259999999999996,0.2694026455026455,0.22076352906352906,0.2070288770740783,0.20336775278773664,0.20262759382366963
retain,dx,6,2,0.29346097215184697,0.4014444444444445,0.2665544973544974,0.21763156843156845,0.20380235733192392,0.2001130447223367,0.19935196687298298
deepr,dxtx,6,2,0.32324866942783753,0.4328,0.2941835978835979,0.24265457135457139,0.2280861675018022,0.2242768996681865,0.22353191190158955
deepr,dx,6,2,0.31376615638348027,0.4268222222222222,0.2833343915343915,0.23288508528508528,0.21920150542039085,0.21552681566570112,0.21476296703242717
bitenet,dxtx,6,3,0.3392109168609416,0.3033777777777778,0.19275238095238095,0.15523904983904982,0.14622322023235335,0.14430315874794403,0.14383512325002348
bitenet,dx,6,3,0.3644745572734265,0.37635555555555555,0.24013015873015872,0.19310212010212013,0.18220113397667576,0.1800126177585943,0.17954320164044255
rnn,dxtx,6,3,0.35697054607335454,0.31655555555555553,0.19017936507936506,0.1543034188034188,0.14583563414569609,0.1441273500626294,0.14374743754432606
rnn,dx,6,3,0.34965521108235037,0.32566666666666666,0.19917777777777776,0.16063032523032522,0.15144747349313914,0.14957446514882644,0.14912712435849715
