model_name,feature_set,n_layers,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,1,0.367583290801659,0.31553333333333333,0.20081375661375658,0.16226863506863506,0.15181470776672013,0.14911262858985838,0.14848524485396888
bitenet,dx,1,0.31528022099243236,0.32166666666666666,0.20098148148148148,0.1616074777074777,0.15104990976802124,0.1482465055393996,0.1475729258538659
bitenet,dxtx,2,0.32076028272533097,0.3095333333333333,0.19617724867724867,0.1582157213157213,0.14808335690796992,0.14548066288701503,0.14490169049287022
bitenet,dx,2,0.3682482280246382,0.34871111111111114,0.2182137566137566,0.1770971842971843,0.16635051533720263,0.1637093797578062,0.1631121778622135
bitenet,dxtx,3,0.21712203307749392,0.3263333333333333,0.2088455026455026,0.16876440596440598,0.15784252773943178,0.1550091228834182,0.15435661814677554
bitenet,dx,3,0.21445401663203023,0.3470444444444444,0.22935820105820107,0.18584735634735633,0.1743932799799673,0.1714483223289227,0.17077014494223955
bitenet,dxtx,4,0.19394182121924045,0.2486,0.16308518518518517,0.13002588892588893,0.12078309566823497,0.11829040478423976,0.1177295629015588
bitenet,dx,4,0.23233601905251985,0.27326666666666666,0.1689883597883598,0.13694626854626854,0.12823788074670425,0.12589731734874957,0.12534581121333538
bitenet,dxtx,5,0.18483922429899724,0.27671111111111113,0.1799915343915344,0.14515286195286195,0.13573304197808841,0.13338795257473815,0.1328446311707271
bitenet,dx,5,0.20711540397150568,0.3362888888888889,0.2139619047619048,0.17226921966921968,0.16104622918647685,0.15817713074868278,0.15748553544743232
bitenet,dxtx,6,0.204310925295224,0.23119999999999996,0.13854708994708995,0.11100900580900581,0.10327043225092761,0.10116243174901407,0.10063620436209703
bitenet,dx,6,0.2010267959581619,0.28504444444444443,0.18832857142857143,0.15109391719391718,0.14080756241808873,0.1380795719544461,0.1373993857634553
bitenet,dxtx,7,0.19268094130072388,0.07366666666666667,0.03767089947089947,0.02786055426055427,0.024941204415353024,0.024183569682935682,0.024014201749889583
bitenet,dx,7,0.20486426904026267,0.19871111111111112,0.10788201058201059,0.08380988270988271,0.07704328484266565,0.07522123327104885,0.07481199052571416
bitenet,dxtx,8,0.20281376282131564,0.09093333333333334,0.047617460317460315,0.037119358419358414,0.03413341070694012,0.033427149335461356,0.03324865467558739
bitenet,dx,8,0.20108686767524106,0.1086,0.055957671957671956,0.041855418655418655,0.03772238918632108,0.036573470182619465,0.03630007519106355
